Index,Furnishing,BHK,Transaction,Super Area (in sqft),Bathroom,Link,CostPerSqft,TotalCost,Floor,Builder,Car Parking,overlooking,Balcony,facing,BuilderLink,Ownership,Location,Carpet Area,Status
20,Unfurnished,1,New Property,625,1,https://www.magicbricks.com/propertyDetails/1-BHK-625-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423730323436393835,13440,8400000,5 out of 29,Prestige Park Grove,1,"Garden/Park, Main Road",1,East,https://www.magicbricks.com/prestige-park-grove-whitefield-bangalore-pdpid-4d4235343136353835,Freehold,Whitefield,424 sqft,Under Construction Poss. by Dec '27
21,Unfurnished,1,New Property,703.2679739,1,https://www.magicbricks.com/propertyDetails/1-BHK-703-Sq-ft-Multistorey-Apartment-FOR-Sale-Gottigere-in-Bangalore&id=4d423730383230373437,7650,5380000,3 out of 4,Casagrand Hazen,1,"Garden/Park, Pool, Main Road",1,East,https://www.magicbricks.com/casagrand-hazen-gottigere-bangalore-pdpid-4d4235333333373735,Freehold,Gottigere,492 sqft,Under Construction Poss. by Feb '25
22,Unfurnished,1,New Property,681,1,https://www.magicbricks.com/propertyDetails/1-BHK-681-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423730373339303835,7009,4770000,3 out of 5,Casagrand Boulevard,1,"Garden/Park, Pool, Main Road",1,South,https://www.magicbricks.com/casagrand-boulevard-hennur-main-road-bangalore-pdpid-4d4235313839323232,Freehold,Hennur Main Road,Not Known,Ready to Move
23,Unfurnished,1,Resale,755,2,https://www.magicbricks.com/propertyDetails/1-BHK-755-Sq-ft-Multistorey-Apartment-FOR-Sale-Electronics-City-Phase-1-in-Bangalore&id=4d423732313836333135,7285,5500000,10 out of 13,Shriram Summitt,0,"Pool, Garden/Park, Main Road",1,North,https://www.magicbricks.com/shriram-summitt-electronics-city-phase-1-bangalore-pdpid-4d4235303833333339,Freehold,Phase 1 Electronics City,Not Known,Ready to Move
24,Unfurnished,1,New Property,-4600000,1,https://www.magicbricks.com/propertyDetails/1-BHK-681-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423730373339303835,-1,4600000,1 out of 4,Benaka Enterprise,1,"Garden/Park, Pool, Main Road",1,North,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",Freehold,Hennur Main Road,510 sqft,Ready to Move
25,Semi-Furnished,1,New Property,649.9901517,1,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Abbigere-in-Bangalore&id=4d423731323339303833,5077,3300000,2 out of 3,Vijaya Aquagreen,1,Main Road,1,East,https://www.magicbricks.com/vijaya-aquagreen-abbigere-bangalore-pdpid-4d4235313132373835,Freehold,Abbigere,455 sqft,Under Construction Poss. by Jul '24
26,Unfurnished,1,New Property,531.5789474,1,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",7600,4040000,2 out of 4,Sona Vistaas,1,Main Road,1,East,https://www.magicbricks.com/sona-vistaas-nyanapanahalli-bangalore-pdpid-4d4235313332363639,Freehold,Nyanapanahalli,260 sqft,Ready to Move
27,Unfurnished,1,New Property,659.8121762,1,https://www.magicbricks.com/propertyDetails/1-BHK-660-Sq-ft-Multistorey-Apartment-FOR-Sale-Panathur-in-Bangalore&id=4d423730333736313137,12352,8150000,6 out of 18,Sobha Neopolis,1,"Garden/Park, Pool, Main Road",1,North - East,https://www.magicbricks.com/sobha-neopolis-panathur-bangalore-pdpid-4d4235343137363437,Power Of Attorney,Panathur,435 sqft,Under Construction Poss. by Dec '28
28,Unfurnished,1,New Property,657.9764122,1,https://www.magicbricks.com/propertyDetails/1-BHK-656-Sq-ft-Multistorey-Apartment-FOR-Sale-Devanahalli-in-Bangalore&id=4d423638303034393135,8055,5300000,11 out of 15,Sattva Park Cubix,1,Garden/Park,1,West,https://www.magicbricks.com/sattva-park-cubix-devanahalli-bangalore-pdpid-4d4235303936383435,Freehold,Devanahalli,493 sqft,Ready to Move
29,Unfurnished,1,New Property,730.1401869,1,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Bagaluru-in-Bangalore&id=4d423731383437323637,6848,5000000,7 out of 22,Godrej Ananda,1,"Pool, Main Road",1,East,https://www.magicbricks.com/godrej-ananda-bagaluru-bangalore-pdpid-4d4235323837313331,Freehold,Bagaluru,415 sqft,Under Construction Poss. by Aug '28
30,Unfurnished,2,New Property,1345,2,https://www.magicbricks.com/propertyDetails/2-BHK-1345-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036313537,10136,13600000,Not Known,Abhee Celestial City,0,Not Known,0,Not Known,https://www.magicbricks.com/abhee-celestial-city-sarjapur-road-bangalore-pdpid-4d4235343137383235,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Jul '27
31,Unfurnished,2,New Property,1140,2,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=2&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",5000,5700000,Not Known,Shashank Akshadha,0,Not Known,0,Not Known,https://www.magicbricks.com/shashank-akshadha-jakkur-bangalore-pdpid-4d4235333333373733,Not Known,Jakkur,Not Known,Under Construction Poss. by May '24
32,Semi-Furnished,2,New Property,1157,2,https://www.magicbricks.com/propertyDetails/2-BHK-1157-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423732303635363037,4847,5610000,Not Known,Peace Paramount,0,Not Known,0,Not Known,https://www.magicbricks.com/peace-paramount-yelahanka-bangalore-pdpid-4d4235313137353437,Not Known,Yelahanka,Not Known,Ready to Move
33,Unfurnished,2,New Property,1225,2,https://www.magicbricks.com/propertyDetails/2-BHK-1345-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036313537,6853,8400000,Not Known,Jhanavi Noreste,0,Not Known,2,Not Known,https://www.magicbricks.com/jhanavi-noreste-sarjapur-road-bangalore-pdpid-4d4235343034323737,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by May '24
34,Unfurnished,2,New Property,938,2,https://www.magicbricks.com/propertyDetails/2-BHK-1157-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423732303635363037,7777,7300000,Not Known,Dioro and Beryl at Brigade El Dorado,0,Not Known,0,Not Known,https://www.magicbricks.com/dioro-and-beryl-at-brigade-el-dorado-yelahanka-bangalore-pdpid-4d4235343139313535,Not Known,Yelahanka,Not Known,Under Construction Poss. by Jun '28
35,Unfurnished,2,New Property,883,2,https://www.magicbricks.com/propertyDetails/2-BHK-883-Sq-ft-Multistorey-Apartment-FOR-Sale-Mysore-Road-in-Bangalore&id=4d423536343936393135,6172,5450000,8 out of 12,Provident Sunworth City,1,Not Known,0,Not Known,https://www.magicbricks.com/provident-sunworth-city-mysore-road-bangalore-pdpid-4d4235313234343339,Not Known,Mysore Road,Not Known,Under Construction Poss. by Jun '24
36,Unfurnished,2,New Property,1283,2,https://www.magicbricks.com/propertyDetails/2-BHK-1283-Sq-ft-Multistorey-Apartment-FOR-Sale-Gottigere-in-Bangalore&id=4d423731313338313937,6781,8700000,Not Known,Casagrand Hazen,1,Not Known,0,Not Known,https://www.magicbricks.com/casagrand-hazen-gottigere-bangalore-pdpid-4d4235333333373735,Not Known,Gottigere,Not Known,Under Construction Poss. by Apr '25
37,Semi-Furnished,2,New Property,1200,2,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=2&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",11250,13500000,Not Known,Purva Zenium 2,1,Not Known,0,Not Known,https://www.magicbricks.com/purva-zenium-2-new-international-airport-road-bangalore-pdpid-4d4235333631383631,Not Known,Kempegowda International Airport Road,Not Known,Under Construction Poss. by Jun '27
38,Unfurnished,2,New Property,1301,2,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=2&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",9198,11900000,Not Known,DSR Parkway,1,Not Known,0,Not Known,https://www.magicbricks.com/dsr-parkway-sarjapur-road-bangalore-pdpid-4d4235313335363533,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Jul '24
39,Unfurnished,2,New Property,988,2,https://www.magicbricks.com/propertyDetails/2-BHK-988-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-New-Town-in-Bangalore&id=4d423731393733383237,7463,7370000,Not Known,Concorde Antares,1,Not Known,0,Not Known,https://www.magicbricks.com/concorde-antares-yelahanka-new-town-bangalore-pdpid-4d4235343138323733,Not Known,Yelahanka New Town,Not Known,Under Construction Poss. by Dec '28
40,Unfurnished,2,New Property,726,2,https://www.magicbricks.com/mana-dale-sarjapur-road-bangalore-pdpid-4d4235343137383233/prjDtId-4d42313731323737,5785,4200000,Not Known,VBHC Haven Of Joy,0,Not Known,0,Not Known,https://www.magicbricks.com/vbhc-haven-of-joy-kengeri-bangalore-pdpid-4d4235343137373333,Not Known,Kengeri,Not Known,Under Construction Poss. by Sep '26
41,Semi-Furnished,2,New Property,1090,2,https://www.magicbricks.com/propertyDetails/2-BHK-726-Sq-ft-Multistorey-Apartment-FOR-Sale-Kengeri-in-Bangalore&id=4d423639393831383039,10000,10900000,Not Known,Nikoo Homes IV,1,Not Known,0,Not Known,https://www.magicbricks.com/nikoo-homes-iv-thanisandra-main-road-bangalore-pdpid-4d4235323939333835,Not Known,Thanisandra Main Road,Not Known,Under Construction Poss. by Jul '25
42,Unfurnished,2,New Property,1163,2,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=2&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",9200,10700000,Not Known,Orchid Bloomsberry,0,Not Known,0,Not Known,https://www.magicbricks.com/orchid-bloomsberry-panathur-bangalore-pdpid-4d4235343137323737,Not Known,Panathur,Not Known,Under Construction Poss. by Mar '28
43,Semi-Furnished,2,Resale,1105.053779,2,https://www.magicbricks.com/propertyDetails/2-BHK-1105-Sq-ft-Multistorey-Apartment-FOR-Sale-Kadugodi-in-Bangalore&id=4d423731373436313937,6787,7500000,2 out of 4,VS Sai Ashraya,0,Main Road,0,North,https://www.magicbricks.com/vs-sai-ashraya-kadugodi-bangalore-pdpid-4d4235303335323937,Freehold,Kadugodi,884 sqft,Ready to Move
44,Unfurnished,2,New Property,965,2,https://www.magicbricks.com/propertyDetails/2-BHK-965-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandapura-in-Bangalore&id=4d423639353532393633,7223,6970000,Not Known,Raj High Gardens,0,Not Known,0,Not Known,https://www.magicbricks.com/raj-high-gardens-chandapura-bangalore-pdpid-4d4235333334313539,Not Known,Chandapura,Not Known,Under Construction Poss. by Dec '26
45,Unfurnished,2,New Property,1195,2,https://www.magicbricks.com/propertyDetails/2-BHK-1195-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731323731383733,7509,8970000,Not Known,United Projects Dreamcity,1,Not Known,0,Not Known,https://www.magicbricks.com/united-projects-dreamcity-whitefield-bangalore-pdpid-4d4235333834313339,Not Known,Whitefield,Not Known,Under Construction Poss. by Dec '26
46,Furnished,2,New Property,1140,2,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423632393932393235,4500,5130000,Not Known,RRL Nature Wood,1,Not Known,0,Not Known,https://www.magicbricks.com/rrl-nature-wood-sarjapur-bangalore-pdpid-4d4235333234333831,Not Known,Sarjapura,Not Known,Ready to Move
47,Unfurnished,2,New Property,1025,2,https://www.magicbricks.com/propertyDetails/2-BHK-1025-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423639353234383939,8999,9220000,Not Known,Mantri Serenity,1,Not Known,0,Not Known,https://www.magicbricks.com/mantri-serenity-kanakapura-road-bangalore-pdpid-4d4235303235353738,Not Known,Kanakapura Road,Not Known,Ready to Move
48,Unfurnished,2,New Property,1240,2,https://www.magicbricks.com/propertyDetails/2-BHK-1240-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423731393639383339,9200,11399999,Not Known,SSVR Niyaara,0,Not Known,0,Not Known,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337,Not Known,Varthur,Not Known,Under Construction Poss. by Dec '28
49,Semi-Furnished,2,Resale,1100.052383,2,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323935,9545,10500000,9 out of 20,Arvind Skylands,1,"Garden/Park, Pool, Main Road",1,West,https://www.magicbricks.com/arvind-skylands-jakkur-bangalore-pdpid-4d4235303934353533,Freehold,Jakkur,800 sqft,Ready to Move
50,Unfurnished,2,New Property,1165,2,https://www.magicbricks.com/propertyDetails/2-BHK-1165-Sq-ft-Multistorey-Apartment-FOR-Sale-Banashankari-in-Bangalore&id=4d423731393136343531,9099,10600000,Not Known,Brigade 7 Gardens,0,Not Known,0,Not Known,https://www.magicbricks.com/brigade-7-gardens-banashankari-bangalore-pdpid-4d4235303932333235,Not Known,Banashankari,Not Known,Ready to Move
51,Unfurnished,2,New Property,1294,2,https://www.magicbricks.com/propertyDetails/2-BHK-1294-Sq-ft-Multistorey-Apartment-FOR-Sale-Kogilu-Main-Road-in-Bangalore&id=4d423731313538383237,10221,13200000,7 out of 17,Nikoo Homes VI Phase 1,1,Not Known,0,Not Known,https://www.magicbricks.com/nikoo-homes-vi-phase-1-kogilu-main-road-bangalore-pdpid-4d4235343138383535,Not Known,Kogilu Main Road,Not Known,Under Construction Poss. by Jan '29
52,Unfurnished,2,New Property,987,2,https://www.magicbricks.com/propertyDetails/2-BHK-1157-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423732303635363037,5000,4940000,Not Known,DS MAX Stavam,1,Not Known,0,Not Known,https://www.magicbricks.com/ds-max-stavam-yelahanka-bangalore-pdpid-4d4235333235313937,Not Known,Yelahanka,Not Known,Under Construction Poss. by Mar '25
53,Unfurnished,2,New Property,1331,2,https://www.magicbricks.com/propertyDetails/2-BHK-1331-Sq-ft-Multistorey-Apartment-FOR-Sale-JP-Nagar-9th-Phase-in-Bangalore&id=4d423731363436343633,7799,10300000,Not Known,HM Indigo,0,Not Known,0,Not Known,https://www.magicbricks.com/hm-indigo-jp-nagar-9th-phase-bangalore-pdpid-4d4235303037333338,Not Known,Phase 9th JP Nagar,Not Known,Ready to Move
54,Semi-Furnished,2,New Property,1546,2,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423632393932393235,7606,11700000,Not Known,Aiikya Village Sarjapur,1,Not Known,0,Not Known,https://www.magicbricks.com/aiikya-village-sarjapur-sarjapur-bangalore-pdpid-4d4235343138383935,Not Known,Sarjapura,Not Known,Under Construction Poss. by Nov '26
55,Unfurnished,2,New Property,1166,2,https://www.magicbricks.com/propertyDetails/2-BHK-1166-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423730363436303537,6800,7930000,Not Known,Bhoo Aabharana,0,Not Known,0,Not Known,https://www.magicbricks.com/bhoo-aabharana-hennur-main-road-bangalore-pdpid-4d4235343138323735,Not Known,Hennur Main Road,Not Known,Under Construction Poss. by Dec '24
