,Location,Builder,Status,Transaction,BHK,TotalCost,CostPerSqft,Super Area (in sqft),Bathroom,Balcony,Car Parking,Furnishing,Link,BuilderLink
22,Hennur Main Road,Casagrand Boulevard,Ready to Move,New Property,1,4770000,7009,681.0,1,1,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-681-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423730373339303835,https://www.magicbricks.com/casagrand-boulevard-hennur-main-road-bangalore-pdpid-4d4235313839323232
23,Phase 1 Electronics City,Shriram Summitt,Ready to Move,Resale,1,5500000,7285,755.0,2,1,0,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-755-Sq-ft-Multistorey-Apartment-FOR-Sale-Electronics-City-Phase-1-in-Bangalore&id=4d423732313836333135,https://www.magicbricks.com/shriram-summitt-electronics-city-phase-1-bangalore-pdpid-4d4235303833333339
24,Abbigere,Vijaya Aquagreen,Under Construction Poss. by Jul '24,New Property,1,3300000,5077,649.9901517,1,1,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Abbigere-in-Bangalore&id=4d423731323339303833,https://www.magicbricks.com/vijaya-aquagreen-abbigere-bangalore-pdpid-4d4235313132373835
25,Nyanapanahalli,Sona Vistaas,Ready to Move,New Property,1,4040000,7600,531.5789474,1,1,1,Unfurnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/sona-vistaas-nyanapanahalli-bangalore-pdpid-4d4235313332363639
26,Panathur,Sobha Neopolis,Under Construction Poss. by Dec '28,New Property,1,8150000,12352,659.8121762,1,1,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-660-Sq-ft-Multistorey-Apartment-FOR-Sale-Panathur-in-Bangalore&id=4d423730333736313137,https://www.magicbricks.com/sobha-neopolis-panathur-bangalore-pdpid-4d4235343137363437
27,Devanahalli,Sattva Park Cubix,Ready to Move,New Property,1,5300000,8055,657.9764122,1,1,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-656-Sq-ft-Multistorey-Apartment-FOR-Sale-Devanahalli-in-Bangalore&id=4d423638303034393135,https://www.magicbricks.com/sattva-park-cubix-devanahalli-bangalore-pdpid-4d4235303936383435
28,Bagaluru,Godrej Ananda,Under Construction Poss. by Aug '28,New Property,1,5000000,6848,730.1401869,1,1,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Bagaluru-in-Bangalore&id=4d423731383437323637,https://www.magicbricks.com/godrej-ananda-bagaluru-bangalore-pdpid-4d4235323837313331
29,Sarjapur Road,Abhee Celestial City,Under Construction Poss. by Jul '27,New Property,2,13600000,10136,1345.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1345-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036313537,https://www.magicbricks.com/abhee-celestial-city-sarjapur-road-bangalore-pdpid-4d4235343137383235
30,Jakkur,Shashank Akshadha,Under Construction Poss. by May '24,New Property,2,5700000,5000,1140.0,2,0,0,Unfurnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=2&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/shashank-akshadha-jakkur-bangalore-pdpid-4d4235333333373733
31,Yelahanka,Peace Paramount,Ready to Move,New Property,2,5610000,4847,1157.0,2,0,0,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1157-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423732303635363037,https://www.magicbricks.com/peace-paramount-yelahanka-bangalore-pdpid-4d4235313137353437
32,Sarjapur Road,Jhanavi Noreste,Under Construction Poss. by May '24,New Property,2,8400000,6853,1225.0,2,2,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1345-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036313537,https://www.magicbricks.com/jhanavi-noreste-sarjapur-road-bangalore-pdpid-4d4235343034323737
33,Yelahanka,Dioro and Beryl at Brigade El Dorado,Under Construction Poss. by Jun '28,New Property,2,7300000,7777,938.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1157-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423732303635363037,https://www.magicbricks.com/dioro-and-beryl-at-brigade-el-dorado-yelahanka-bangalore-pdpid-4d4235343139313535
34,Mysore Road,Provident Sunworth City,Under Construction Poss. by Jun '24,New Property,2,5450000,6172,883.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-883-Sq-ft-Multistorey-Apartment-FOR-Sale-Mysore-Road-in-Bangalore&id=4d423536343936393135,https://www.magicbricks.com/provident-sunworth-city-mysore-road-bangalore-pdpid-4d4235313234343339
35,Gottigere,Casagrand Hazen,Under Construction Poss. by Apr '25,New Property,2,8700000,6781,1283.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1283-Sq-ft-Multistorey-Apartment-FOR-Sale-Gottigere-in-Bangalore&id=4d423731313338313937,https://www.magicbricks.com/casagrand-hazen-gottigere-bangalore-pdpid-4d4235333333373735
36,Kempegowda International Airport Road,Purva Zenium 2,Under Construction Poss. by Jun '27,New Property,2,13500000,11250,1200.0,2,0,1,Semi-Furnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=2&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/purva-zenium-2-new-international-airport-road-bangalore-pdpid-4d4235333631383631
37,Sarjapur Road,DSR Parkway,Under Construction Poss. by Jul '24,New Property,2,11900000,9198,1301.0,2,0,1,Unfurnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=2&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/dsr-parkway-sarjapur-road-bangalore-pdpid-4d4235313335363533
