,Location,Builder,Status,Transaction,BHK,TotalCost,CostPerSqft,Super Area (in sqft),Bathroom,Balcony,Car Parking,Furnishing,Link,BuilderLink
76,Whitefield,Assetz 66 and Shibui,Under Construction Poss. by Jun '28,New Property,3,29900000,13881,2154.0,3,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,https://www.magicbricks.com/assetz-66-and-shibui-whitefield-bangalore-pdpid-4d4235343139343839
77,Whitefield,United Projects Dreamcity,Under Construction Poss. by Dec '26,New Property,3,9680000,7509,1289.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,https://www.magicbricks.com/united-projects-dreamcity-whitefield-bangalore-pdpid-4d4235333834313339
78,Begur,Casagrand Amor,Under Construction Poss. by Mar '26,New Property,3,10300000,7002,1471.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1471-Sq-ft-Multistorey-Apartment-FOR-Sale-Begur-in-Bangalore&id=4d423731383733313637,https://www.magicbricks.com/casagrand-amor-begur-bangalore-pdpid-4d4235343139353333
79,Jakkur,Sobha HRC Pristine,Ready to Move,Resale,3,30000000,15789,1900.057002,3,2,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323139,https://www.magicbricks.com/sobha-hrc-pristine-jakkur-bangalore-pdpid-4d4235313130303633
80,Sarjapur Road,Eshas Courtyard,Under Construction Poss. by Jul '25,New Property,3,13500000,6776,1997.0,3,0,1,Unfurnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=3&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/eshas-courtyard-sarjapur-road-bangalore-pdpid-4d4235343138353937
81,Varthur,SSVR Niyaara,Under Construction Poss. by Dec '28,New Property,3,13799999,9200,1500.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423731393639383631,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337
82,Sarjapur Road,The Right Life,Under Construction Poss. by Jul '29,New Property,3,20000000,12041,1661.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,https://www.magicbricks.com/the-right-life-sarjapur-road-bangalore-pdpid-4d4235343139393339
83,Sarjapura,Metropolis Fair Oaks II,Under Construction Poss. by Sep '24,New Property,3,12600000,11504,1100.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Villa-FOR-Sale-Sarjapur-in-Bangalore&id=4d423730313236333131,https://www.magicbricks.com/metropolis-fair-oaks-ii-sarjapur-bangalore-pdpid-4d4235333431323333
84,Banashankari,Brigade 7 Gardens,Ready to Move,New Property,3,12700000,9104,1395.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Multistorey-Apartment-FOR-Sale-Banashankari-in-Bangalore&id=4d423731393136343835,https://www.magicbricks.com/brigade-7-gardens-banashankari-bangalore-pdpid-4d4235303932333235
85,Kogilu Main Road,Nikoo Homes VI Phase 1,Under Construction Poss. by Jan '29,New Property,3,23000000,10549,2182.0,3,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2182-Sq-ft-Multistorey-Apartment-FOR-Sale-Kogilu-Main-Road-in-Bangalore&id=4d423731313538393431,https://www.magicbricks.com/nikoo-homes-vi-phase-1-kogilu-main-road-bangalore-pdpid-4d4235343138383535
86,Yelahanka,DS MAX Stavam,Under Construction Poss. by Mar '25,New Property,3,6580000,5000,1315.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1315-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423638323431303935,https://www.magicbricks.com/ds-max-stavam-yelahanka-bangalore-pdpid-4d4235333235313937
87,Phase 9th JP Nagar,HM Indigo,Ready to Move,New Property,3,13600000,7533,1814.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1814-Sq-ft-Multistorey-Apartment-FOR-Sale-JP-Nagar-9th-Phase-in-Bangalore&id=4d423731363436353933,https://www.magicbricks.com/hm-indigo-jp-nagar-9th-phase-bangalore-pdpid-4d4235303037333338
88,Sarjapura,Aiikya Village Sarjapur,Under Construction Poss. by Nov '26,New Property,3,13700000,7606,1812.0,3,0,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1812-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423731343833343335,https://www.magicbricks.com/aiikya-village-sarjapur-sarjapur-bangalore-pdpid-4d4235343138383935
