Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
47,Yelahanka,Byatarayanapura,8,Kodigehalli,Sahakaranagara CQAL Layout park,,3881,03 good,
48,Yelahanka,Byatarayanapura,8,Kodigehalli,Vidyaranyapura NTI Layout park,,2841,02 Verygood,
49,Yelahanka,Byatarayanapura,9,Vidyaranyapura,HMT Layout in Vidyaranyapura,,5308,03 good,
50,Yelahanka,Byatarayanapura,9,Vidyaranyapura,Canarabank layout Ganesha Temple,,12000,02 Very good,
,,,,,park,,,,
51,Yelahanka,Byatarayanapura,9,Vidyaranyapura,3rd Block Anjaneyatemple park in,,2000,02 Verygood,
,,,,,Vidyaranyapura,,,,
52,Yelahanka,Byatarayanapura,9,Vidyaranyapura,Canarabank 7th Cross park,,2498,04 Average,
53,Yelahanka,Byatarayanapura,9,Vidyaranyapura,Vidyaranyapura 6th Block and Main,,3551,02 Verygood,
,,,,,park,,,,
54,Yelahanka,Byatarayanapura,10,Doddabommasandra,Vidyaranyapura 2nd Block 4th Main,,3898,02 Verygood,
,,,,,park,,,,
55,Yelahanka,Yelahanka,3,Attur,4th Phase 5th Cross House No 381,,640,03 Good,
,,,,,C 5 Park in Yelahanka Newtown,,,,
56,Yelahanka,Yelahanka,3,Attur,SFS 208 1st Main 2nd Cross,,8733,02 Verygood,
,,,,,,,,,
57,Yelahanka,Byatarayanapura,11,Kuvempunagar,Vidyaranyapura Defence layout,,7394,02 Verygood,
,,,,,Devematha School park,,,,
58,Yelahanka,Yelahanka,3,Attur,SFS 407 4thMain Air quartess,,342,02 Very good,
,,,,,compound park,,,,
59,Yelahanka,Yelahanka,3,Attur,4th Phase th Main Park in Yelahanka,,2800,03 Good,
,,,,,Newtown P 5 10,,,,
60,Yelahanka,Yelahanka,3,Attur,4th Phase 6th Cross House No 20 C,,842,04 Average,
,,,,,1,,,,
61,Yelahanka,Yelahanka,3,Attur,5th Phase 8th Main Park No 2 in,,900,02 Verygood,
,,,,,Yelahanka Newtown,,,,
62,Yelahanka,Yelahanka,3,Attur,2nd and 3rd Main CHS 707 Govt,,1396,02 Very good,
,,,,,School Ganapathi Temple park C 6,,,,
63,Yelahanka,Yelahanka,3,Attur,4th Phase 2nd Cross House No 141,,566,03 Good,
,,,,,park in Yelahanka Newtown,,,,
64,Yelahanka,Yelahanka,3,Attur,4th Phase 12th Cross Opp to House,,590,04 Average,
,,,,,No 637 park in Yelahaka Newtown,,,,
65,Yelahanka,Yelahanka,4,Yelahanka Satellite,Judicial layout Kanaka nagara park,,3575,02 Verygood,
,,,,town,,,,,
66,Yelahanka,Yelahanka,4,Yelahanka Satellite,16th B Cross Opp to House No 1150,,660,02 Verygood,
,,,,town,inYelahanka newtown,,,,
67,Yelahanka,Yelahanka,4,Yelahanka Satellite,6th and 7th Main A sector in,,9724,02 Verygood,
,,,,town,Yelahanka Newtown P A 3,,,,
68,Yelahanka,Byatarayanapura,6,Thanisandra,Bhuvaneshwarinagara park,,9398,02 Verygood,
,,,,,,,,,
