Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
209,RajarajeshwariN,Rajarajeshwari Nagar,69,Laggere,Laggere Ring Road Junction,,24434.07,,
,agar,,,,,,,,
210,RajarajeshwariN,Rajarajeshwari Nagar,42,Lakshmidevinagar,Jaibhuvaneshwarinagar Park at 2nd,,24756.99,,
,agar,,,,"Stage in Ward No.42, RRN Zone",,,,
211,RajarajeshwariN,Rajarajeshwari Nagar,42,Lakshmidevinagar,Vidhana soudha Layout Park Ward,,19375.03,,
,agar,,,,No.42,,,,
212,RajarajeshwariN,Rajarajeshwari Nagar,42,Lakshmidevinagar,Vidhanasoudha Layout Park at ward,,13993.08,,
,agar,,,,No.42,,,,
213,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,"1st Blcok, Nagarabhavi, Near Sub-",,11302.1,,
,agar,,,,Register Office Park,,,,
214,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,8th Block Park at Nagarabhavi BDA,,14316,,
,agar,,,,Layout,,,,
215,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Vinayaka Layout at Nagarabhavi Park,,28524.36,,
,agar,,,,,,,,
216,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,MPM Layout (Ground) Park at,,34444.51,,
,agar,,,,Nagarabhavi,,,,
217,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Annapoorneswari Layout Park,-,42086.88,,
,agar,,,,Play Ground,,,,
218,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Annapoorneswari Layout Park,,38104.24,,
,agar,,,,,,,,
219,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Annapoorneswari Temple Park Place,,29062.55,,
,agar,,,,Nagarabhavi,,,,
220,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,D. Rajajinagar Layout HBCS,,40902.85,,
,agar,,,,Nagarabhavi Park RRN Zone,,,,
221,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,NGEF Layout Park at Mallathalli,,75670.29,,
,agar,,,,,,,,
222,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,NGEF Layout Park at Mallathalli Play,,76843.5,,
,agar,,,,ground,,,,
223,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,BEML Layout 4th Stage Park NHB,,28524.36,,
,agar,,,,School,,,,
224,RajarajeshwariN,Yashwanthapura,72,Herohalli,"Muddina Palya Main Road, Gidada",,58125.11,,
,agar,,,,"Konehalli Park,",in RR Nagar Zone.,,,
225,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,"Dooravani Employees Layout Park,",,31753.53,,
,agar,,,,"Stage 2,",in RR Nagar Zone.,,,
226,RajarajeshwariN,Yashwanthapura,40,Doddabidarakallu,Doddamuneshwara Temple Park at,,39288.27,,
,agar,,,,ward No.40 in RRN Zone,,,,
227,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maruthi Temple Park at Vinayaka,,359514.6,,
,agar,,,,Layout,,,,
228,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Ramakrishna layout park at Malagala,,62753.6,,
,agar,,,,main road park,,,,
229,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,ITI Layout part-2 Mallathahalli Park,,30138.95,,
,agar,,,,,,,,
230,RajarajeshwariN,Yashwanthapura,40,Doddabidarakallu,Segehalli Nursery park,,0,,
,agar,,,,,,,,
231,RajarajeshwariN,Yashwanthapura,159,Kengeri,Sri Rama Layout Park in Kengeri,,6458.35,,
,agar,,,,Park,,,,
232,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Vishveswarapura Law College,,26909.78,,
,agar,,,,Opp.Park at Nagarabhavi 1st Block.,,,,
233,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,"Ideal Homes Layout Fruit Park, RR",,82279.33,,
,agar,,,,Nagar,,,,
234,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-1 Park,,21151.08,,
,agar,,,,,,,,
235,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-2 Park,,22787.2,,
,agar,,,,,,,,
236,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-3 Park,,67102.22,,
,agar,,,,,,,,
237,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-4 CA/Park,,39568.13,,
,agar,,,,,,,,
238,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-5 CA/Park,,5091.33,,
,agar,,,,,,,,
239,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-6 CA/Park,,6264.6,,
,agar,,,,,,,,
240,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-7 CA/Park,,9009.39,,
,agar,,,,,,,,
241,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-8 CA/Park,,170640.27,,
,agar,,,,,,,,
242,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCC Layout Part-9 CA/Park,,11485.09,,
,agar,,,,,,,,
243,RajarajeshwariN,Yashwanthapura,40,Doddabidarakallu,Thippenahalli Park in RR Nagar,,0,,
,agar,,,,,Zone.,,,
244,RajarajeshwariN,Yashwanthapura,130,Ullalu,Upadya,Layout Park at,33368.12,,
,agar,,,,Nagadevanahlli.,,,,
245,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Annapoorneshwari,,33486.52,,
,agar,,,,Nagar Park,,,,
246,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Annapoorneshwari,,15736.84,,
,agar,,,,Nagar (SWD),,,,
247,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Nagarabhavi 12th,,19375.04,,
,agar,,,,block Park,,,,
248,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Railwaymen HBCS,,21312.54,,
,agar,,,,,Park,,,
249,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of ITI layout Park,,30138.95,,
,agar,,,,,,,,
250,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,"Maintenance of Rajajinagar HBCS,",,66219.58,,
,agar,,,,"""D"" group",Park,,,
251,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,"Maintenance of NGEF layout,",,34218.47,,
,agar,,,,Ganesha Temple Park,,,,
252,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Ideal home Park,,145668,,
,agar,,,,,,,,
253,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Opp Zonal Office,,63560.89,,
,agar,,,,,Park,,,
254,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Mavinamarada,,87446.01,,
,agar,,,,Chandrashekaran block,Park,,,
255,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Kenchenahalli,BHEL,66413.33,,
,agar,,,,(SWD) Park,,,,
256,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Kenchenahalli Park,,22475.04,,
,agar,,,,,,,,
257,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Bangalore University,,109673.48,,
,agar,,,,layout,and Field Marshal Kariyappa,,,
,,,,,,Park,,,
258,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Prakruthi,Park,14595,,
,agar,,,,,,,,
259,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of near Gurusiddappa,,14509.75,,
,agar,,,,house,Park,,,
260,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of BEML 9th Main Road,,115561,,
,agar,,,,Mavinathoup,Park,,,
261,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Double Road,Park,16823.99,,
,agar,,,,,,,,
262,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Srinivasaiah block,,17598.99,,
,agar,,,,,Park,,,
263,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Krishnappa block,,54465.39,,
,agar,,,,,Park,,,
264,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Srigandha health,,37598.34,,
,agar,,,,layout,Park,,,
265,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of Rajarajeshwari Nagar,,9149.32,,
,agar,,,,Entrance Park,,,,
266,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,"Maintenance of NGEF layout, near",,34907.36,,
,agar,,,,Ranin (SWD) Park,,,,
267,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,"Maintenance of ""D"" group layout Park",,236806.02,,
,agar,,,,,,,,
268,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Vinayaka layout Park,,20526.78,,
,agar,,,,,,,,
269,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Railwaymen HBCS,,21312.54,,
,agar,,,,Park,,,,
270,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Nagarabhavi 14th,,42517.45,,
,agar,,,,block (BDA),Park,,,
271,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Nagarabhavi 14th,,9773.63,,
,agar,,,,block Park,,,,
272,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of MPM Layout,Park,39363.62,,
,agar,,,,,,,,
273,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of ITI Layout (Paly,,10763.91,,
,agar,,,,ground),Park,,,
274,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Govt Press layout,,19105.94,,
,agar,,,,(Water tank) Park,,,,
275,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Govt Press layout,,21291.01,,
,agar,,,,(Transformer) Park,,,,
276,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,Maintenance of Nagarabhavi,,85680.73,,
,agar,,,,Chamundeshwari temple,Park,,,
277,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Prasanna Anjaneya,,26640.68,,
,agar,,,,temple,Park,,,
278,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Ravi gym (BDA) Park,,20666.71,,
,agar,,,,,,,,
279,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Nagarabhavi 9th,,58986.23,,
,agar,,,,block Park,,,,
280,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Nagarabhavi Maruthi,,58125.12,,
,agar,,,,Mandir,Park,,,
281,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Nagarabhavi 11th,,41473.35,,
,agar,,,,block,Park,,,
282,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Nagarabhavi 13th,,64583.46,,
,agar,,,,block Dobi ghat,Park,,,
283,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Nagarabhavi 11th,,26963.59,,
,agar,,,,block (Kere),Park,,,
284,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of near Aryan School,,17792.74,,
,agar,,,,Park,,,,
285,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Ramakrishna Hegde,,34616.73,,
,agar,,,,Park,,,,
286,RajarajeshwariN,Rajarajeshwari Nagar,38,H.M.T,Maintenance of Peenya Industrial,,67166.8,,
,agar,,,,area(below HTL) Park,,,,
287,RajarajeshwariN,Rajarajeshwari Nagar,38,H.M.T,Maintenance of Peenya Industrial,,67166.8,,
,agar,,,,area(below HTL ) Park,,,,
288,RajarajeshwariN,Rajarajeshwari Nagar,16,Jalahalli,Maintenance of Sharadhamba Nagar,,54895.94,,
,agar,,,,Park,,,,
289,RajarajeshwariN,Rajarajeshwari Nagar,73,Kottigepalya,Maintenance of Bande Maramma,,49513.99,,
,agar,,,,Park,,,,
290,RajarajeshwariN,Rajarajeshwari Nagar,37,Yeshwanthpur,Maintenance of LIC Colony Park,,6264.6,Re development of,
,agar,,,,(Mattikere),,,the park should be,
,,,,,,,,taken up,
291,RajarajeshwariN,Rajarajeshwari Nagar,38,H.M.T,Maintenance of KIADB near Reliance,,51989.68,,
,agar,,,,Petrol bunk Park,,,,
292,RajarajeshwariN,Rajarajeshwari Nagar,42,Lakshmidevinagar,Maintenance of Jaraka bande Park,,18976.77,Tree park can be,
,agar,,,,,,,developed if water,
,,,,,,,,facility is made,
293,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of Upakar Layout,Park,80223.42,,
,agar,,,,,,,,
294,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of Kalyan HBCS,,21366.36,,
,agar,,,,Bhuvaneshwari Nagar,Park,,,
295,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of Kalyan HBCS near,,30623.33,,
,agar,,,,(Water tank),Park,,,
296,RajarajeshwariN,Rajarajeshwari Nagar,17,J.P.Park,Maintenance of Sundr Nagar Park,,17437.53,,
,agar,,,,(Mattikere),,,,
297,RajarajeshwariN,Rajarajeshwari Nagar,17,J.P.Park,Maintainence of JP Park,,2505192.51,,
,agar,,,,,,,,
298,RajarajeshwariN,Rajarajeshwari Nagar,17,J.P.Park,Maintenance of SBM Colony Park,,2238.89,,
,agar,,,,,,,,
299,RajarajeshwariN,Yashwanthapura,159,Kengeri,Maintenance of Kengeri Upanagar,,18944.48,,
,agar,,,,Part-1 Park,,,,
300,RajarajeshwariN,Yashwanthapura,159,Kengeri,Maintenance of Kengeri Upanagar,,43077.16,,
,agar,,,,Part-2,Park,,,
301,RajarajeshwariN,Yashwanthapura,159,Kengeri,Maintenance of Kengeri Upanagar,,40364.66,,
,agar,,,,Part-3,Park,,,
302,RajarajeshwariN,Yashwanthapura,159,Kengeri,Maintenance of Kengeri Upanagar,,43540.02,,
,agar,,,,Part-4,Park,,,
303,RajarajeshwariN,Yashwanthapura,159,Kengeri,Maintenance of Kengeri Upanagar,,43862.93,,
,agar,,,,Part-5,Park,,,
304,RajarajeshwariN,Yashwanthapura,159,Kengeri,Maintenance of Kengeri Upanagar,,22066.02,,
,agar,,,,Part-7,Park,,,
305,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of Nagadevanahalli,,9483,,
,agar,,,,BDA,Park,,,
306,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of Valagerahalli Indus,,12916.69,tree park can be,
,agar,,,,Hospital,Park,,developed,
307,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of R.R. Layout,Park,9526.06,,
,agar,,,,,,,,
308,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of Valagerahalli,,58587.96,,
,agar,,,,Vinayaka temple,Park,,,
309,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,Maintenance of BCMC layout Park,,55326.49,,
,agar,,,,,,,,
310,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,Maintenance of Concard layout Park,,37673.68,,
,agar,,,,,,,,
311,RajarajeshwariN,Yashwanthapura,40,Doddabidarakallu,"Maintenance of Herohalli ""D"" group",,72333.47,,
,agar,,,,layout Part-1 Park,,,,
312,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of KPSC layout Part-1,,36704.93,,
,agar,,,,near (Amma Ashra),Park,,,
313,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of near Jnana,,50665.73,,
,agar,,,,Ganapathi temple,Park,,,
314,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of KPSC layout Part-2,,36704.93,,
,agar,,,,Opp (Amma Ashrama),Park,,,
315,RajarajeshwariN,Yashwanthapura,130,Ullalu,Maintenance of Ullal AGS,Park,74421.68,,
,agar,,,,,,,,
316,RajarajeshwariN,Yashwanthapura,159,Kengeri,Maintenance of Kengeri KHB,Park,8697.24,,
,agar,,,,,,,,
317,RajarajeshwariN,Yashwanthapura,159,Kengeri,Kengeri Crematorium,,15478.5,,
,agar,,,,,,,,
318,RajarajeshwariN,Rajarajeshwari Nagar,38,H.M.T,"Maintenance of KIADB, TVS Cross",,29546.93,,
,agar,,,,Park,,,,
319,RajarajeshwariN,Yashwanthapura,72,Herohalli,Maintenance of Ganesha farm Anjana,,19762.54,,
,agar,,,,Nagar,Park,,,
320,RajarajeshwariN,Yashwanthapura,72,Herohalli,Maintenance of BEL layout (Gandhi),,98220.68,,
,agar,,,,Park,,,,
321,RajarajeshwariN,Yashwanthapura,72,Herohalli,Maintenance of BEL layout (Jinke),,95798.8,,
,agar,,,,Park,,,,
322,RajarajeshwariN,Yashwanthapura,72,Herohalli,Maintenance of BEL layout graveyard,,45208.42,,
,agar,,,,Park,,,,
323,RajarajeshwariN,Yashwanthapura,72,Herohalli,"Maintenance of BEL layout East,",,22582.68,,
,agar,,,,"West, School",Park,,,
324,RajarajeshwariN,Yashwanthapura,72,Herohalli,Maintenance of Syndicate bank,,64583.46,,
,agar,,,,layout Part-1,Park,,,
325,RajarajeshwariN,Yashwanthapura,72,Herohalli,Maintenance of Syndicate bank,,79652.94,,
,agar,,,,layout Part-3,Park,,,
326,RajarajeshwariN,Yashwanthapura,72,Herohalli,Maintenance of Syndicate bank,,60740.75,,
,agar,,,,layout Part-2,Park,,,
327,RajarajeshwariN,Yashwanthapura,40,Doddabidarakallu,"Maintenance of Herohalli ""D"" group",,75347.37,,
,agar,,,,layout Part-2 and Part-3 Park,,,,
328,RajarajeshwariN,Yashwanthapura,40,Doddabidarakallu,Maintenance of,"Herohalli""D"" group",50590.37,,
,agar,,,,layout Part-4 Park,,,,
329,RajarajeshwariN,Yashwanthapura,40,Doddabidarakallu,Maintenance of,,64906.37,,
,agar,,,,"Doddabidarekallu,Thippenahalli Park",,,,
330,RajarajeshwariN,Yashwanthapura,72,Herohalli,Maintenance of BEL layout (Kere),,84604.34,,
,agar,,,,Park,,,,
331,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,Maintenance of BHEL Remco Park,,47931.69,,
,agar,,,,,,,,
332,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,Maintenance of BEL layout Part-2,,70718.89,,
,agar,,,,(Neelagiri (RWA),Park,,,
333,West,Gandhinagar,121,Binnypet,Thammaiahnna Park Magadi Road,,16661.7,,
,,,,,Behind Colleg,,,,
334,West,Gandhinagar,121,Binnypet,"Behind Colleg and IPP Hospital Park ,",,11390.94,,
,,,,,Magadi Road,,,,
335,West,Gandhinagar,120,Cottonpet,Muniyanna Garden Park,,8766.45,,
336,West,Govindaraj Nagar,103,Kaveripura,"Siddaruda Park, Kaveripura",,12882.87,good,
337,West,Govindaraj Nagar,103,Kaveripura,Prashanthi Vana Part-1 to 5 Kaveri,,25362.81,GOOD,
,,,,,pura,,,,
338,West,Govindaraj Nagar,104,Govindrajnagara,Thimmenahalli Park and Play Ground,,18621.9,,
339,West,Govindaraj Nagar,104,Govindrajnagara,Govindarajanagar Park,,20756.34,,
340,West,Govindaraj Nagar,104,Govindrajnagara,Park Opp to CPWD Quarters,,34858.89,good,
341,West,Govindaraj Nagar,125,Marenahalli,Amarjyothinagar Park AND,Ward,15507.36,,
,,,,,Office PARK,,,,
342,West,Govindaraj Nagar,125,Marenahalli,Park behind Udaya School,,26168.67,GOOD,
343,West,Govindaraj Nagar,125,Marenahalli,M.C layout HT Line park Part,1 to 6,82753.11,,
344,West,Govindaraj Nagar,106,Dr. Rajkumar Ward,Park infront of Library (Police,,17478.45,,
,,,,,quarters),,,,
345,West,Govindaraj Nagar,105,Agrahara,Park Opp to Gayathri Hospital,,30056.4,good,
,,,,Dasarahalli,,,,,
346,West,Govindaraj Nagar,106,Dr. Rajkumar Ward,HT Line Park 5th Main,4th Main,14897.52,,
347,West,Govindaraj Nagar,105,Agrahara,Nandanavana Park KHB Colony,,29947.5,good,
,,,,Dasarahalli,,,,,
348,West,Govindaraj Nagar,105,Agrahara,Naveen Park MC Layout,,62552.16,,
,,,,Dasarahalli,,,,,
349,West,Govindaraj Nagar,105,Agrahara,"Vivekananda Park , KHB Colony",7th,27769.5,,
,,,,Dasarahalli,Main,,,,
350,West,Govindaraj Nagar,105,Agrahara,Basavavana Park KHB Colony,,60537.51,,
,,,,Dasarahalli,,,,,
351,West,Govindaraj Nagar,105,Agrahara,Nethaji Subhashchandra Bhoss Park,,7819.02,,
,,,,Dasarahalli,KHB Colony (Hutta),,,,
352,West,Govindaraj Nagar,125,Marenahalli,MINI BAZAR PARK PART 1 AND 2,,48678.3,,
,,,,,M C LAYOUT,,,,
353,West,Govindaraj Nagar,126,Maruthi Mandira,BANGALORE 1 CENTRE WARD,,5336.1,,
,,,,Ward,OFFICE PARK,,,,
354,West,Govindaraj Nagar,126,Maruthi Mandira,,P F LAYOUT PARK,5695.47,,
,,,,Ward,,,,,
355,West,Govindaraj Nagar,126,Maruthi Mandira,,G K W LAYOUT PARK,38724.84,,
,,,,Ward,,,,,
356,West,Govindaraj Nagar,126,Maruthi Mandira,VINAYAKA LAYOUT PARK,,78037.74,,
,,,,Ward,,,,,
357,West,Govindaraj Nagar,126,Maruthi Mandira,CANARA BANK COLONY PARK,,59905.89,,
,,,,Ward,,,,,
358,West,Govindaraj Nagar,127,Moodalapalya,MOODALAPALYA MAIN ROAD,,4029.3,,
,,,,,,PARK,,,
359,West,Govindaraj Nagar,127,Moodalapalya,,BBMP IPP PARK,8167.5,,
360,West,Govindaraj Nagar,127,Moodalapalya,,KAILASAGIRI PARK,15790.5,,
,,,,,PANCHASHEELANAGAR,,,,
,,,,,,MOODALAPALYA,,,
361,West,Govindaraj Nagar,127,Moodalapalya,AKKAMAHADEVI PARK,,14167.89,,
,,,,,BYRAVESHWARANAGAR,,,,
362,West,Govindaraj Nagar,127,Moodalapalya,KITTHUR RANI CHENNAMMA PARK,,9474.3,,
363,West,Govindaraj Nagar,127,Moodalapalya,SWAMY VIVEKANADA PARK,,34553.97,,
364,West,Govindaraj Nagar,128,Nagarabhavi,CENTRAL TEACHERS COLONY,,18589.23,,
,,,,,,PARK,,,
365,West,Govindaraj Nagar,128,Nagarabhavi,AYYAPPA SWAMY TEMPLE PARK,,36535.95,,
,,,,,DURGA PARAMESHWARI TEMPLE,,,,
366,West,Govindaraj Nagar,128,Nagarabhavi,NGEF,LAYOUT PARK,72037.35,,
367,West,Govindaraj Nagar,128,Nagarabhavi,SHARADA COLONY PARK,,35570.5,,
368,West,Govindaraj Nagar,128,Nagarabhavi,NEW INCOME TAX LAYOUT PARK,,28368.45,,
,,,,,,PART 1 AND 4,,,
369,West,Govindaraj Nagar,128,Nagarabhavi,NEW INCOME TAX LAYOUT PARK,,10149.48,,
,,,,,,PART- 5 TO 7,,,
370,West,Govindaraj Nagar,128,Nagarabhavi,VIDHYAGIRI LAYOUT PARK,PART-,17358.66,,
,,,,,,1 TO 2,,,
371,West,Govindaraj Nagar,128,Nagarabhavi,ARUNDATHI NAGAR PARK PART 1,,26887.41,,
,,,,,,AND 2,,,
372,West,Govindaraj Nagar,128,Nagarabhavi,"CHANDRAGIRI PARK , NEAR",,72963,,
,,,,,SIDDAGANGA SCHOOL,,,,
373,West,Govindaraj Nagar,131,Nayandanahalli,SUVARNA NAGARA LAYOUT PARK,,46696.32,,
374,West,Govindaraj Nagar,131,Nayandanahalli,ITI LK PART-1AY OUT PAR,,35686.53,,
375,West,Govindaraj Nagar,131,Nayandanahalli,ITI LAYOUT PARK PART-2,,35686.53,,
376,West,Govindaraj Nagar,131,Nayandanahalli,ITI LAYOUT PARK PART-3,,44507.43,,
377,West,Govindaraj Nagar,131,Nayandanahalli,ITI,LAYOUT PARK PART-3,34499.52,,
378,West,Govindaraj Nagar,131,Nayandanahalli,,D CLUB NEAR PARK,9801,,
379,West,Rajajinagar,99,Rajajinagar,"9th anf 10th Cross Park, Adarsha",,32713.56,,
,,,,,,Layout,,,
380,West,Rajajinagar,101,Kamakshipalya,,S.B.I. Colony Park,27388.35,,
381,West,Rajajinagar,101,Kamakshipalya,,Sharada Colony Park,8167.5,,
382,West,Rajajinagar,99,Rajajinagar,Kalyana Venkateshwara Park 2nd,,16792.38,,
,,,,,"and 3rd Cross, 14th Main",,,,
383,West,Rajajinagar,100,Basaveshwaranagar,Sir. M. Vishweshwaraiah,Park,33062.04,,
,,,,,,University Layout,,,
384,West,Rajajinagar,100,Basaveshwaranagar,Nethaji Subashchandra bhoss Park,,169884,,
,,,,,and Play Ground,,,,
385,West,Rajajinagar,99,Rajajinagar,Gayathri Housing Society Park,,50126.67,,
,,,,,,(Siddappaji),,,
386,West,Rajajinagar,99,Rajajinagar,LIC Colony Park (Right Side) 14th,,23958,,
,,,,,,Main,,,
387,West,Rajajinagar,99,Rajajinagar,,Navarang Park,82382.85,,
388,West,Rajajinagar,99,Rajajinagar,RTO Complex Park,,7895.25,,
389,West,Govindaraj Nagar,125,Marenahalli,Saraswathi Puram Park,,16596.36,good,
390,West,Govindaraj Nagar,106,Dr. Rajkumar Ward,Ambedkar Stadium Park,,76665.6,good,
391,West,Govindaraj Nagar,106,Dr. Rajkumar Ward,Boulevard Park Part- 1 - 6,,52195.77,good,
392,West,Govindaraj Nagar,106,Dr. Rajkumar Ward,"2nd Main ,",1st Main Park HT Line,11957.22,good,
,,,,,,beside Mori,,,
393,West,Rajajinagar,101,Kamakshipalya,,Aladamara Park,93349.08,,
394,West,Rajajinagar,107,Shivanagar,Shivanagar Park,,134861.76,,
395,West,Rajajinagar,107,Shivanagar,Park beside Pushpanjali Theatre,,9953.46,,
396,West,Rajajinagar,107,Shivanagar,Dhobhi Ghat Park,,14701.5,,
397,West,Rajajinagar,107,Shivanagar,Muthyalamma Park,,4900.5,,
398,West,Rajajinagar,97,Dayanandanagar,Labour Colony Park Bhashyam,,3865.95,,
,,,,,,Nagara,,,
399,West,Rajajinagar,97,Dayanandanagar,Dayananda nagar,Park,5488.56,,
400,West,Rajajinagar,98,Prakashnagar,"Gayathridevi Park,",,489821.31,,
401,West,Rajajinagar,108,Srirammandira ward,Lalithamba Ganapathi Park,,9877.23,,
402,West,Rajajinagar,108,Srirammandira ward,,A B C Park,10007.91,,
403,West,Rajajinagar,108,Srirammandira ward,Mahadeva,Banakar park,53295.66,,
404,West,Rajajinagar,108,Srirammandira ward,,Vykunta Park,5390.55,,
405,West,Rajajinagar,108,Srirammandira ward,Park in front of Madhu Hotel,,18556.56,,
406,West,Mahalakshmi Layout,43,Nandini Layout,HSFS Park Nandini Layout Bus Stand,,13024.44,,
407,West,Mahalakshmi Layout,43,Nandini Layout,Park at Presidency School,,23914.44,,
408,West,Mahalakshmi Layout,43,Nandini Layout,SFHS Park Part-1 and 2,,37777.41,,
409,West,Mahalakshmi Layout,43,Nandini Layout,Ramakrishna nagar Park,,20582.1,,
410,West,Mahalakshmi Layout,43,Nandini Layout,BHEL Layout Park,,42928.38,,
411,West,Mahalakshmi Layout,43,Nandini Layout,Balamuri Varasiddi Vinayaka Temple,,48798.09,,
,,,,,,Park,,,
